cell_name,y_true,a_mean,a_std,b_mean,b_std,c_mean,c_std,d_mean,d_std,s_mean,s_std
SEV_batch2_c030,246.0,0.5349939465522766,0.06746201953395134,0.5119933426380158,0.010069802837358368,0.08372545838356019,0.21606272959453307,0.20477826595306398,0.005704531198556797,0.8017541646957398,0.032489741160646755
SEV_batch2_c031,252.0,0.4518979907035828,0.10839667971882173,0.5200954020023346,0.023966538339394057,0.13573218137025833,0.14554102620896414,0.2206389933824539,0.01141543311182588,0.7522852778434753,0.04157933108663185
SEV_batch2_c032,360.0,0.4576526343822479,0.14634694271205897,0.5115905106067657,0.04367733920020114,0.23442010432481766,0.20132998583546777,0.20174968540668486,0.015382505893691901,0.7576803684234619,0.041539733494160014
SEV_batch2_c033,246.0,0.4586631178855896,0.13892299194795044,0.5008955538272858,0.030293388714414074,0.23841005116701125,0.20883315718295006,0.2064699798822403,0.00858246511261879,0.7247008919715882,0.046669403667416065
SEV_batch2_c035,246.0,0.44199602007865907,0.1286504700803419,0.5214575946331024,0.03172569548616343,0.08179011531174182,0.13353270509722048,0.211500945687294,0.022491189124151538,0.722604238986969,0.07777128199681484
SEV_batch2_c036,249.0,0.47076616883277894,0.11895213216105122,0.5044129252433777,0.04577291982792358,0.20126964077353476,0.19052091292488246,0.20692164897918702,0.026577246641044487,0.7363604426383972,0.047767054609243464
SEV_batch2_c037,245.0,0.5006146311759949,0.16831906294844487,0.502341228723526,0.013039349019649952,0.22029565572738646,0.25867033610264606,0.20441646575927735,0.017899725236677544,0.7239230036735534,0.06867580065899263
SEV_batch2_c038,251.0,0.5390354275703431,0.061454549814206325,0.5103741765022278,0.007226531532902526,0.14616192802786826,0.2193103961457591,0.20700678825378419,0.017283764592111343,0.795371949672699,0.03285108229319825
SEV_batch2_c039,246.0,0.5117935836315155,0.16139917904375498,0.4926456093788147,0.028745978233802,0.21864526122808456,0.2650995340519276,0.19742661118507385,0.014651238962980888,0.72337806224823,0.07117695189266053
SEV_batch2_c040,361.0,0.401813405752182,0.12677825542362048,0.46650533080101014,0.05256774585660258,0.16804169937968255,0.1848384103496294,0.1680261880159378,0.017042889450001646,0.640320235490799,0.11476288612697559
SEV_batch2_c041,249.0,0.4564088821411133,0.12064236087391564,0.5021110951900483,0.0074623503156944744,0.120030727237463,0.10041672284359345,0.19929707646369935,0.014614017994564906,0.7473600745201111,0.03753484407557
SEV_batch2_c043,249.0,0.4476183533668518,0.11600584275427746,0.510285758972168,0.022469357492554416,0.08981518223881721,0.1969198379578955,0.22114452719688416,0.010769979771025555,0.7707014203071594,0.0494579103264465
SEV_batch2_c044,246.0,0.5215234577655792,0.09757297648857273,0.48908254504203796,0.01958001496769085,0.1324675939977169,0.29398132219797407,0.20215513408184052,0.013619015218887491,0.7529859423637391,0.06691580212971905
SEV_batch2_c047,259.0,0.38138615190982816,0.12845842443042782,0.41283953189849854,0.0514401092750767,-0.023080524802207947,0.07388549789150825,0.14789514541625975,0.06761256065996839,0.6443288803100586,0.17773725246710453
SEV_batch3_c000,819.0,0.5144846141338348,0.028926475780895928,0.5004549622535706,0.011001462219649254,0.22287242412567138,0.3071797093770799,0.19869606494903563,0.012837684988672219,0.788192629814148,0.02148912837022806
SEV_batch3_c001,585.0,0.5161188960075378,0.03381109789354471,0.4991492033004761,0.014457813891188536,0.2064238518476486,0.31754146258505844,0.19721076786518096,0.01170386881025371,0.7854393601417542,0.03328999047994859
SEV_batch3_c003,600.0,0.5071295320987701,0.027351821400547188,0.494532573223114,0.013863792728531795,0.2188424676656723,0.33903554677136427,0.19028188586235045,0.012185714649922956,0.7784835815429687,0.026893524164224313
