metric,n_early,baseline,family,pinn,base,delta,ci_lo,ci_hi,wilcoxon_p,favours_pinn
MAE,100,Ensemble_NN,deep-learning,139.61216,156.03104000000002,-16.41888000000001,-38.836866666666666,-4.974546666666674,0.0625,True
MAE,100,Neural_ODE,deep-learning,139.61216,150.40764,-10.795480000000007,-18.040093333333353,0.9125666666666745,0.0625,False
MAE,100,LSTM,deep-learning,139.61216,274.4650466666667,-134.85288666666665,-158.37515333333334,-107.79696666666669,0.03125,True
MAE,100,GRU,deep-learning,139.61216,273.0943533333333,-133.48219333333336,-156.9601800000001,-105.21271333333334,0.03125,True
MAE,100,Bayesian_LSTM,deep-learning,139.61216,274.56217333333336,-134.95001333333335,-158.48005333333336,-107.88775333333334,0.03125,True
MAE,100,Transformer,deep-learning,139.61216,249.86495333333332,-110.25279333333337,-133.70739333333336,-86.79819333333334,0.03125,True
MAE,100,Informer,deep-learning,139.61216,248.97725999999997,-109.36510000000001,-131.70480666666668,-85.89747333333332,0.03125,True
MAE,100,PatchTST,deep-learning,139.61216,248.96556666666666,-109.35340666666666,-132.73792666666665,-85.96888666666666,0.03125,True
MAE,100,GaussianProcess,classical,139.61216,147.7092,-8.097040000000003,-13.427342869767612,-3.370873333333333,0.0625,True
MAE,100,RandomForest,classical,139.61216,144.62008,-5.007920000000001,-19.825933333333317,6.008386666666661,0.40625,False
MAE,100,XGBoost,classical,139.61216,160.51528000000002,-20.90312000000001,-31.108086666666672,-9.987606666666688,0.03125,True
MAE,150,PINN_UQ,deep-learning,117.36094,124.83340666666668,-7.472466666666665,-23.05867333333334,-0.3028066666666632,0.09375,True
MAE,150,Pure_NN,deep-learning,117.36094,135.87906666666666,-18.518126666666664,-24.898940000000003,-12.61341333333333,0.03125,True
MAE,150,Ensemble_NN,deep-learning,117.36094,133.35011333333333,-15.989173333333326,-22.33283999999999,-9.645506666666662,0.03125,True
MAE,150,Neural_ODE,deep-learning,117.36094,134.96124666666668,-17.60030666666666,-23.59338666666666,-9.605453333333333,0.03125,True
MAE,150,LSTM,deep-learning,117.36094,284.09272,-166.73178000000001,-191.71037333333334,-146.53361999999998,0.03125,True
MAE,150,GRU,deep-learning,117.36094,282.66493333333335,-165.30399333333335,-190.2135,-145.24722,0.03125,True
MAE,150,Bayesian_LSTM,deep-learning,117.36094,284.26984000000004,-166.90890000000002,-191.81108666666665,-146.78484666666668,0.03125,True
