n_early,param,value
50,b,0.004963258747011423
50,b,0.005052279680967331
50,b,0.004843474365770817
50,b,0.005080702248960733
50,b,0.0050424193032085896
50,b,0.005140984430909157
50,b,0.005039803683757782
50,b,0.005062922369688749
50,b,0.004987050779163837
50,b,0.005131565500050783
50,b,0.00504595972597599
50,b,0.004950542468577623
50,b,0.004618586972355843
50,b,0.00512171583250165
50,b,0.0030704676173627377
50,b,0.002651864429935813
50,b,0.0030242742504924536
50,b,0.0027929183561354876
50,b,0.0028384781908243895
50,b,0.0028457504231482744
50,b,0.0026926223654299974
50,b,0.0028264170978218317
50,b,0.0027327227871865034
50,b,0.002663237974047661
50,b,0.0026050645392388105
50,b,0.0028236177749931812
50,b,0.003064157906919718
50,b,0.002683753613382578
50,b,0.002112351357936859
50,b,0.0027766262646764517
50,b,0.0031785278115421534
50,b,0.0031396071426570415
50,b,0.0029741337057203054
50,b,0.0030030165798962116
50,b,0.002842211164534092
50,b,0.002517489017918706
50,b,0.0030947888735681772
50,b,0.004703273065388203
50,b,0.00392611138522625
50,b,0.004880147520452738
50,b,0.0046162051148712635
50,b,0.00459605548530817
50,b,0.004879246931523085
50,b,0.004217893350869417
50,b,0.0045730420388281345
50,b,0.005114501807838678
50,b,0.0045114923268556595
50,b,0.005077488720417023
50,b,0.00460079126060009
50,b,0.004820546600967646
50,b,0.004562670364975929
50,b,0.00371423177421093
50,b,0.004990619607269764
50,b,0.0050336821004748344
50,b,0.004661107435822487
50,b,0.005099926143884659
50,b,0.0047141448594629765
50,b,0.004381266422569752
50,b,0.0049089170061051846
50,b,0.004964179825037718
50,b,0.004960036836564541
50,b,0.005054575856775045
50,b,0.005010790191590786
50,b,0.004924277774989605
50,b,0.005054732784628868
50,b,0.005048322957009077
50,b,0.005009067710489035
50,b,0.004976226482540369
50,b,0.005006620194762945
50,b,0.004942150786519051
50,b,0.0049744704738259315
50,b,0.004880209919065237
50,b,0.005069149658083916
50,b,0.004977477248758078
50,b,0.005099950823932886
50,b,0.004870095755904913
50,b,0.004822710063308477
50,b,0.004968591965734959
50,b,0.0050180950202047825
50,b,0.0050406064838171005
50,b,0.004955722019076347
50,b,0.005016800947487354
50,b,0.004997635260224342
50,b,0.0029143497813493013
50,b,0.0029863121453672647
50,b,0.0029309378005564213
50,b,0.0024521236773580313
50,b,0.002683332422748208
50,b,0.002405027858912945
50,b,0.002678735414519906
50,b,0.0024110928643494844
50,b,0.002412704285234213
50,b,0.0025970113929361105
50,b,0.0026645539328455925
50,b,0.002569952979683876
50,b,0.0027558256406337023
50,b,0.0027125156484544277
50,b,0.0028132011648267508
50,b,0.0030076168477535248
50,b,0.0024927635677158833
50,b,0.0026327387895435095
