split_seed,fold,n_early,model,MAE,MedianAE,Within_50
100,2,50,Pure_NN,204.06,91.49,0.2609
100,2,50,GaussianProcess,287.52,227.88,0.2174
100,2,50,Neural_ODE,304.52,167.5,0.0435
100,2,50,XGBoost,198.79,151.39,0.3043
100,2,100,PINN_Knee,190.42,90.33,0.381
100,2,100,RandomForest,149.03,56.66,0.4286
100,2,100,PINN_UQ,235.72,145.02,0.1905
100,2,100,Ensemble_NN,233.5,151.69,0.0952
100,2,100,Pure_NN,233.5,151.69,0.0952
100,2,100,GaussianProcess,423.46,418.31,0.2857
100,2,100,Neural_ODE,167.5,83.59,0.4762
100,2,100,XGBoost,150.37,45.53,0.5238
100,2,150,PINN_Knee,161.39,69.12,0.4
100,2,150,RandomForest,144.76,73.56,0.45
100,2,150,PINN_UQ,200.62,183.99,0.2
100,2,150,Ensemble_NN,209.73,170.13,0.15
100,2,150,Pure_NN,209.73,170.13,0.15
100,2,150,GaussianProcess,316.68,308.49,0.3
100,2,150,Neural_ODE,182.84,137.87,0.25
100,2,150,XGBoost,146.59,51.93,0.45
100,3,50,PINN_Knee,174.87,70.37,0.3043
100,3,50,RandomForest,182.49,94.23,0.3478
100,3,50,PINN_UQ,187.23,165.52,0.2174
100,3,50,Ensemble_NN,183.44,83.62,0.1739
100,3,50,Pure_NN,183.44,83.62,0.1739
100,3,50,GaussianProcess,391.15,295.67,0.1304
100,3,50,Neural_ODE,196.12,142.31,0.2609
100,3,50,XGBoost,190.04,75.89,0.3913
100,3,100,PINN_Knee,192.52,93.61,0.3478
100,3,100,RandomForest,148.65,59.48,0.4348
100,3,100,PINN_UQ,207.38,117.51,0.3478
100,3,100,Ensemble_NN,205.62,135.87,0.2609
100,3,100,Pure_NN,205.62,135.87,0.2609
100,3,100,GaussianProcess,520.19,287.27,0.1304
100,3,100,Neural_ODE,185.86,119.93,0.3913
100,3,100,XGBoost,153.53,93.44,0.3913
100,3,150,PINN_Knee,159.95,59.57,0.4545
100,3,150,RandomForest,144.62,93.52,0.3636
100,3,150,PINN_UQ,184.47,92.02,0.3182
100,3,150,Ensemble_NN,197.65,98.31,0.2727
100,3,150,Pure_NN,197.65,98.31,0.2727
100,3,150,GaussianProcess,227.21,147.74,0.0909
100,3,150,Neural_ODE,168.38,97.2,0.3182
100,3,150,XGBoost,144.15,70.46,0.4545
100,4,50,PINN_Knee,131.83,88.72,0.1304
100,4,50,RandomForest,155.01,136.56,0.3478
100,4,50,PINN_UQ,186.48,137.83,0.2609
100,4,50,Ensemble_NN,146.27,94.72,0.3478
100,4,50,Pure_NN,146.27,94.72,0.3478
100,4,50,GaussianProcess,296.38,216.03,0.2174
100,4,50,Neural_ODE,179.87,83.45,0.2609
100,4,50,XGBoost,172.04,141.57,0.3478
100,4,100,PINN_Knee,125.87,106.14,0.2273
100,4,100,RandomForest,127.29,87.33,0.2727
100,4,100,PINN_UQ,110.39,89.53,0.1818
100,4,100,Ensemble_NN,97.77,74.87,0.2727
100,4,100,Pure_NN,97.77,74.87,0.2727
100,4,100,GaussianProcess,528.54,219.24,0.1818
100,4,100,Neural_ODE,89.07,50.73,0.5
100,4,100,XGBoost,149.83,75.97,0.3636
100,4,150,PINN_Knee,80.88,67.67,0.3333
100,4,150,RandomForest,100.36,67.64,0.381
100,4,150,PINN_UQ,86.6,74.0,0.4286
100,4,150,Ensemble_NN,83.72,64.86,0.4286
100,4,150,Pure_NN,83.72,64.86,0.4286
100,4,150,GaussianProcess,236.45,171.17,0.0952
100,4,150,Neural_ODE,93.52,57.38,0.4286
100,4,150,XGBoost,86.0,37.86,0.619
101,0,50,PINN_Knee,148.02,76.02,0.3333
101,0,50,RandomForest,140.43,69.08,0.4583
101,0,50,PINN_UQ,150.45,63.13,0.375
101,0,50,Ensemble_NN,165.99,102.19,0.1667
101,0,50,Pure_NN,165.99,102.19,0.1667
101,0,50,GaussianProcess,236.08,171.26,0.1667
101,0,50,Neural_ODE,166.49,124.19,0.125
101,0,50,XGBoost,155.92,68.32,0.3333
101,0,100,PINN_Knee,151.26,96.23,0.375
101,0,100,RandomForest,132.7,97.87,0.3333
101,0,100,PINN_UQ,157.06,129.44,0.2917
101,0,100,Ensemble_NN,179.09,113.51,0.2083
101,0,100,Pure_NN,179.09,113.51,0.2083
101,0,100,GaussianProcess,256.6,232.98,0.125
101,0,100,Neural_ODE,145.74,97.78,0.3333
101,0,100,XGBoost,135.91,91.89,0.3333
101,0,150,PINN_Knee,134.98,106.9,0.3478
101,0,150,RandomForest,132.05,73.02,0.3043
101,0,150,PINN_UQ,145.5,123.69,0.2609
101,0,150,Ensemble_NN,160.85,110.08,0.3043
101,0,150,Pure_NN,160.85,110.08,0.3043
101,0,150,GaussianProcess,205.15,125.31,0.2174
101,0,150,Neural_ODE,123.32,88.86,0.3043
101,0,150,XGBoost,144.22,113.75,0.3478
101,1,50,PINN_Knee,202.43,88.61,0.3333
101,1,50,RandomForest,184.77,62.37,0.4583
101,1,50,PINN_UQ,211.84,127.51,0.125
